Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Unnamed: 8
CEPQ.S611,2011.12,678.847144,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2012.03,678.847144,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2012.06,682.964488,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2012.09,685.02316,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2012.12,685.02316,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2013.03,684.508492,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2013.06,688.111168,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2013.09,691.199176,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2013.12,694.801853,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2014.03,698.919197,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2014.06,703.55121,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2014.09,707.153886,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
